distance,noise,rho,sfe_score,p_phy,p_log,gain,time_sec
3,0.100,0.000,0.098800,0.001733,0.008500,0.200,0.220
3,0.100,0.500,0.099200,0.002200,0.015000,0.150,0.180
3,0.100,0.900,0.067900,0.001575,0.013000,0.120,0.190
3,0.150,0.000,0.094800,0.001633,0.015500,0.110,0.190
3,0.150,0.500,0.081700,0.001625,0.010500,0.150,0.210
3,0.150,0.900,0.084000,0.007575,0.110500,0.070,0.210
3,0.200,0.000,0.110500,0.004458,0.049500,0.090,0.250
3,0.200,0.500,0.088300,0.004371,0.051000,0.090,0.290
3,0.200,0.900,0.077500,0.008308,0.126500,0.070,0.190
5,0.100,0.000,0.094700,0.001475,0.001500,0.980,0.270
5,0.100,0.500,0.125200,0.002223,0.005000,0.440,0.270
5,0.100,0.900,0.088700,0.001857,0.003000,0.620,0.240
5,0.150,0.000,0.089100,0.005242,0.028000,0.190,0.230
5,0.150,0.500,0.097300,0.002315,0.006000,0.390,0.230
5,0.150,0.900,0.091100,0.001495,0.002500,0.600,0.270
5,0.200,0.000,0.096300,0.004495,0.022500,0.200,0.240
5,0.200,0.500,0.097600,0.001643,0.003000,0.550,0.260
5,0.200,0.900,0.083400,0.019242,0.172500,0.110,0.270
7,0.100,0.000,0.086500,0.002698,0.001500,1.800,0.410
7,0.100,0.500,0.061300,0.001452,0.000000,-1.000,0.300
7,0.100,0.900,0.101500,0.001486,0.000000,-1.000,0.290
7,0.150,0.000,0.107300,0.005130,0.012500,0.410,0.340
7,0.150,0.500,0.106400,0.001773,0.000500,3.550,0.260
7,0.150,0.900,0.093000,0.002373,0.004000,0.590,0.260
7,0.200,0.000,0.096400,0.004502,0.007500,0.600,0.260
7,0.200,0.500,0.102200,0.002266,0.003000,0.760,0.260
7,0.200,0.900,0.084000,0.001630,0.001500,1.090,0.260
