Step,Coherence_White,Coherence_SFE_Pink
0,0.9999995075806276,0.9999994947986454
1,0.999999066238235,0.999998179321166
2,0.9999985222692137,0.9999961269948167
3,0.9999980294351333,0.9999933873821555
4,0.9999975910427897,0.9999901108988147
5,0.9999969308613913,0.9999861466114435
6,0.9999962343668214,0.999981560945469
7,0.9999957201901866,0.9999763953329839
8,0.9999952220923055,0.9999708014283356
9,0.9999947016777937,0.9999647150781091
10,0.9999942692752818,0.9999578808606682
11,0.9999938492655619,0.9999503345743371
12,0.9999932189467253,0.9999425128566944
13,0.9999927350514822,0.9999342422137855
14,0.9999922425042065,0.9999255397796185
15,0.9999916323844105,0.9999158605482434
16,0.9999913839047767,0.9999054941064162
17,0.9999906784222227,0.9998948795268915
18,0.9999900512191654,0.9998835722347625
19,0.9999897552766377,0.9998720717316032
20,0.9999892563795647,0.9998601386902884
21,0.9999887048728143,0.9998474337587253
22,0.9999883785303746,0.9998342612817428
23,0.9999879259230801,0.9998204002393618
24,0.9999873047137104,0.9998065771128501
25,0.999986891701678,0.9997922134076237
26,0.9999864180253897,0.9997770081878107
27,0.999985946311471,0.9997620334553243
28,0.9999856926264145,0.9997466488301835
29,0.9999850896069344,0.9997313044036261
30,0.9999845606845782,0.9997148967198116
31,0.9999843241497113,0.9996987008317444
32,0.9999840287117695,0.9996816462340559
33,0.9999834471831387,0.9996640008833092
34,0.9999828250229,0.9996453406117368
35,0.9999822324295241,0.9996271070395036
36,0.9999815048292757,0.9996089233743362
37,0.9999809248339543,0.9995898187873785
38,0.9999802280540875,0.9995715602884407
39,0.9999795778809119,0.9995518253766302
40,0.9999790010103777,0.9995322951757303
41,0.9999786833666364,0.9995125309370687
42,0.9999780797851232,0.9994920142908046
43,0.9999776074946966,0.9994700577833223
44,0.9999772906478686,0.9994473167325978
45,0.9999763704267258,0.9994242077495926
46,0.9999756932450939,0.9994010092035371
47,0.9999752550869221,0.9993763939604935
48,0.9999745215603757,0.9993531039440521
49,0.9999739321240484,0.999329499254535
50,0.9999730618834821,0.9993045546793193
51,0.9999727249828102,0.999278935431591
52,0.9999724061010368,0.999254221214181
53,0.9999717458558296,0.9992296477180471
54,0.9999716101344764,0.9992041342747648
55,0.9999712298236488,0.999177364432481
56,0.9999707203687274,0.9991505676591388
57,0.9999700492276865,0.9991236134511061
58,0.9999694041296092,0.9990958378949472
59,0.9999684160333143,0.9990681658462718
60,0.9999681801535366,0.999039221351685
61,0.999967488602909,0.9990108906078721
62,0.9999667243972099,0.9989836702131424
63,0.9999665330798009,0.9989547553082773
64,0.9999655239986297,0.9989260024973432
65,0.9999653810486434,0.9988976165430291
66,0.9999645581918057,0.9988701390301483
67,0.9999640275721493,0.9988412573503871
68,0.999963632074378,0.9988110864960852
69,0.9999627154279624,0.9987820190633108
70,0.9999620032889017,0.9987517589921127
71,0.9999614454608841,0.998720038138729
72,0.9999607960866137,0.998688433717944
73,0.9999602709717513,0.9986582731706084
74,0.9999593040600516,0.9986277936244015
75,0.999958884515597,0.9985957009645678
76,0.9999586279121654,0.9985631343992049
77,0.9999581789603869,0.9985295968372868
78,0.9999572439131207,0.998497434319432
79,0.9999566903962284,0.9984652491992663
80,0.9999555622737657,0.9984329286297864
81,0.9999545053073793,0.9984009901994132
82,0.9999538394060705,0.9983674563718669
83,0.9999530205268885,0.9983332585926783
84,0.9999527818458065,0.9982977274569664
85,0.9999526670942338,0.9982628967713928
86,0.9999528610188494,0.9982272317234786
87,0.9999520626344354,0.9981915168716354
88,0.9999516219407021,0.9981562835441407
89,0.9999510363625302,0.998121975577124
90,0.9999503474127838,0.9980864057446378
91,0.9999504433056361,0.9980517453957348
92,0.9999498923604097,0.9980159052991336
93,0.9999496685223905,0.9979780506861327
94,0.9999491890954031,0.997940906900588
95,0.9999488952793237,0.9979027976459857
96,0.9999488381493732,0.9978630451573495
97,0.999948846800844,0.9978228789043565
98,0.9999487708881455,0.9977832929847563
