TimeStep,CenterPhi
1900,-1.9008822566232428
1910,-1.913493575321528
1920,-1.9238056580742844
1930,-1.9306924146993012
1940,-1.9335354850697068
1950,-1.9323308485492556
1960,-1.9274335998212186
1970,-1.9193909159441633
1980,-1.9090727918564863
1990,-1.8977257433280523
2000,-1.8866688003570247
2010,-1.8769525015969613
2020,-1.869365008524479
2030,-1.8645931312965494
2040,-1.8631263442930288
2050,-1.86499118468798
2060,-1.8697452206652965
2070,-1.8767571637351184
2080,-1.8853541132338159
2090,-1.8946912826229734
2100,-1.9037087267238204
2110,-1.9114024652011659
2120,-1.9170968454984423
2130,-1.9203956876542723
2140,-1.9210202873691395
2150,-1.9188926509299036
2160,-1.914343447394119
2170,-1.9080583547380385
2180,-1.900785838739335
2190,-1.8932028413746511
2200,-1.8860337313125881
2210,-1.88007475218684
2220,-1.8759551124613232
2230,-1.8739440753448842
2240,-1.8740593866230735
2250,-1.8762451440236043
2260,-1.880308256503873
2270,-1.8857574498218963
2280,-1.8918843392277493
2290,-1.8980283575149242
2300,-1.903667820732274
2310,-1.908290678782293
2320,-1.9113746205678204
2330,-1.912597982166845
2340,-1.9119788848132566
2350,-1.9097372779522936
2360,-1.906121280186875
2370,-1.9014636432374719
2380,-1.8963050093588445
2390,-1.891288558122679
2400,-1.8869199854441703
2410,-1.88351793243066
2420,-1.8813566644281638
2430,-1.880689377515085
2440,-1.881573674687905
2450,-1.8837873331795485
2460,-1.8869871784228451
2470,-1.8908656911886987
2480,-1.8950866642859332
2490,-1.8991788628963664
2500,-1.9026436144457928
2510,-1.905159829848966
2520,-1.9065965110475862
2530,-1.9068653032040757
2540,-1.9059020878036261
2550,-1.9038175856500594
2560,-1.9009422220672447
2570,-1.897656787507491
2580,-1.8942556394400518
2590,-1.8910192467489004
2600,-1.8883060075342473
2610,-1.8864466057846916
2620,-1.885577151530833
2630,-1.8856641528383566
2640,-1.886655985903945
2650,-1.8884957203167159
2660,-1.8909896813275051
2670,-1.8937893499350176
2680,-1.8965562149594108
2690,-1.8990697198612894
2700,-1.9011422970136846
2710,-1.902537506970037
2720,-1.9030716968694494
2730,-1.9027489434527247
2740,-1.901709798511734
2750,-1.9000839171191797
2760,-1.8979868290819604
2770,-1.895636593145514
2780,-1.893350878070931
2790,-1.891390534476925
2800,-1.8898811164799831
2810,-1.888910026408434
2820,-1.8886001928931955
2830,-1.8890147768281247
2840,-1.8900524701490227
2850,-1.8915184535400988
2860,-1.8932610454420888
2870,-1.8951611199044014
2880,-1.8970246557581125
2890,-1.89859832598283
2900,-1.8997122321386104
2910,-1.9003306533291366
2920,-1.9004470360921677
2930,-1.9000206820539676
2940,-1.8990679904586072
2950,-1.8977426611549641
2960,-1.8962517238620227
2970,-1.894732955838463
2980,-1.8932797203329133
2990,-1.8920405253789503
3000,-1.8911940182826465
3010,-1.8908220492883596
3020,-1.890885171154093
3030,-1.8913325876908949
3040,-1.8921538716356643
3050,-1.8932906287840265
3060,-1.8945759704449419
3070,-1.8958244991738387
3080,-1.8969369735457227
3090,-1.8978610785980485
3100,-1.8984990020030252
3110,-1.8987397303148192
3120,-1.8985708886577455
3130,-1.8980817360017146
3140,-1.8973528268894773
3150,-1.8964174465630301
3160,-1.8953480546925972
3170,-1.8943003258979492
3180,-1.8934208582053853
3190,-1.8927614646800932
3200,-1.8923315608361129
3210,-1.8921831905829571
3220,-1.8923727632069718
3230,-1.8928639082492418
3240,-1.893542166768319
3250,-1.894321680223724
3260,-1.8951692547846506
3270,-1.8960189683421225
3280,-1.8967414071295952
3290,-1.8972349063432326
3300,-1.897492586464395
3310,-1.8975395683761478
3320,-1.8973566491145586
3330,-1.8969243374911944
3340,-1.8963068900626219
3350,-1.8956237526784703
3360,-1.8949492983523353
3370,-1.894303345683855
3380,-1.8937352796078493
3390,-1.8933432361377343
3400,-1.8931858060517295
3410,-1.8932329050105452
3420,-1.8934363705101946
3430,-1.893796384589736
3440,-1.8943119395728019
3450,-1.8949085265114771
3460,-1.8954769411666932
3470,-1.8959647002642703
3480,-1.8963714565927485
3490,-1.8966668684214993
3500,-1.896781787134869
3510,-1.8966927100100004
3520,-1.8964548969213726
3530,-1.8961269373317409
3540,-1.8957152551041085
3550,-1.8952287725433232
3560,-1.8947405414558118
3570,-1.894341246316387
3580,-1.8940578806951385
3590,-1.8938712862564053
3600,-1.893795249189845
3610,-1.8938757053713695
3620,-1.8941107372773964
3630,-1.8944316443804787
3640,-1.894780476956253
3650,-1.8951538395051895
3660,-1.8955436772245335
3670,-1.8958854255944724
3680,-1.8961099851754144
3690,-1.896214418779438
3700,-1.896233228708931
3710,-1.8961636054281457
3720,-1.8959753118595246
3730,-1.8956860634753183
3740,-1.8953681702967644
3750,-1.8950710961349064
3760,-1.8947895232106282
3770,-1.8945262202973656
3780,-1.8943345968908916
3790,-1.8942628223040952
3800,-1.8942938469917787
3810,-1.8943834851573522
3820,-1.8945295860239968
3830,-1.8947535904543944
3840,-1.8950299402734854
3850,-1.8952899292372494
3860,-1.895497182811504
3870,-1.8956679816585222
3880,-1.8958058949281247
3890,-1.895868186277232
3900,-1.8958244042832508
3910,-1.8957060504098269
3920,-1.8955610997598482
3930,-1.8953914335263153
3940,-1.895179198647412
3950,-1.894952422193766
3960,-1.894772141382765
3970,-1.8946601968893828
3980,-1.8945899105310375
3990,-1.8945526981245093
4000,-1.8945829112548322
4010,-1.8946975071853427
4020,-1.8948561615455617
4030,-1.8950122815094017
4040,-1.8951681682659327
4050,-1.8953415341785695
4060,-1.895505092686962
4070,-1.895607121114162
4080,-1.8956394595565225
4090,-1.8956367826669203
4100,-1.895610050181325
4110,-1.8955302037575008
4120,-1.8953894449170314
4130,-1.8952319940242877
4140,-1.8950991905390058
4150,-1.8949822053411034
4160,-1.8948617202190399
4170,-1.894762846977929
4180,-1.8947279682353992
4190,-1.894753585775875
4200,-1.894800040968461
4210,-1.8948567716985785
4220,-1.8949503571716952
4230,-1.8950830412896442
4240,-1.8952104333004174
4250,-1.8952988237856871
4260,-1.8953644135127492
4270,-1.8954285047480528
4280,-1.8954683536496035
4290,-1.8954499420856614
4300,-1.8953859031614768
4310,-1.895317965034952
4320,-1.8952540557693431
4330,-1.895168108615257
4340,-1.8950610222314808
4350,-1.894975120170203
4360,-1.8949356280242433
4370,-1.8949194463643604
4380,-1.8949039809210362
4390,-1.8949102582175807
4400,-1.8949654277392374
4410,-1.8950503028360146
4420,-1.8951236037773185
4430,-1.8951815812339339
4440,-1.8952508900745173
4450,-1.8953288469247889
4460,-1.8953762045910107
4470,-1.8953758649243266
4480,-1.8953563814452439
4490,-1.8953402414122469
4500,-1.8953069714969042
4510,-1.8952345412773983
4520,-1.8951462513500392
4530,-1.895080907422418
4540,-1.895037180306455
4550,-1.894987423684642
4560,-1.894935530644016
4570,-1.8949174910004247
4580,-1.8949433259887616
4590,-1.894980898077327
4600,-1.8950094183857362
4610,-1.8950500152888274
4620,-1.8951212178132248
4630,-1.8951976631438312
4640,-1.8952444562876998
4650,-1.8952683009655904
4660,-1.8952977250732619
4670,-1.895327734800085
4680,-1.8953253621497397
4690,-1.8952863942016982
4700,-1.8952447664691703
4710,-1.8952182743301886
4720,-1.8951843113825235
4730,-1.895126723179456
4740,-1.8950715209090543
4750,-1.895048928463627
4760,-1.8950471118805263
4770,-1.8950371276699352
4780,-1.895025194473517
4790,-1.8950416014993745
4800,-1.8950859050951685
4810,-1.8951237784850758
4820,-1.8951411826591495
4830,-1.8951624671567284
4840,-1.895201957640567
4850,-1.8952337639978984
4860,-1.8952324707723727
4870,-1.8952143572563669
4880,-1.8952080958116981
4890,-1.8952060266458295
4900,-1.8951802097043267
4910,-1.8951348026786223
4920,-1.8951035390527737
4930,-1.8950964399344938
4940,-1.8950876135236423
4950,-1.8950644716852223
4960,-1.8950524950314365
4970,-1.8950725778739057
4980,-1.8951049341254866
4990,-1.8951219411151154
