Step,Free,Echo,CPMG,UDD
0,0.9987581736710426,0.9987581736710426,0.9987581736710426,0.9987581736710426
1,0.9950466969913506,0.9950466969913506,0.9950466969913506,0.9950466969913506
2,0.9888907408705495,0.9888907408705495,0.9888907408705495,0.9888907408705495
3,0.9803375366854662,0.9803375366854662,0.9803375366854662,0.9803375366854662
4,0.9694555718312277,0.9694555718312277,0.9694555718312277,0.9694555718312277
5,0.9563337492101027,0.9563337492101027,0.9563337492101027,0.9563337492101027
6,0.9410605597083551,0.9410605597083551,0.9410605597083551,0.9410605597083551
7,0.9237435652803365,0.9237435652803365,0.9237435652803365,0.9237435652803365
8,0.9045199566674703,0.9045199566674703,0.9045199566674703,0.9045199566674703
9,0.8834827390299561,0.8834827390299561,0.8834827390299561,0.8834827390299561
10,0.8607944475472873,0.8607944475472873,0.8607944475472873,0.8607944475472873
11,0.8366140920614634,0.8366140920614634,0.8366140920614634,0.8366140920614634
12,0.8111019259564904,0.8111019259564904,0.8111019259564904,0.8111019259564904
13,0.7844472432467446,0.7844472432467446,0.7844472432467446,0.7844472432467446
14,0.7568117053505055,0.7568117053505055,0.7568117053505055,0.7568117053505055
15,0.7283369454474105,0.7283369454474105,0.7283369454474105,0.7283369454474105
16,0.6991953971165659,0.6991953971165659,0.6991953971165659,0.6991953971165659
17,0.6695697141730087,0.6695697141730087,0.6695697141730087,0.6695697141730087
18,0.6396700360389117,0.6396700360389117,0.6396700360389117,0.6396700360389117
19,0.6095852868145724,0.6095852868145724,0.6095852868145724,0.6095852868145724
20,0.5794882045951981,0.5794882045951981,0.5794882045951981,0.5794882045951981
21,0.5495294010414011,0.5495294010414011,0.5495294010414011,0.5495294010414011
22,0.5198555933682817,0.5198555933682817,0.5198555933682817,0.5198555933682817
23,0.4906250117775084,0.4906250117775084,0.4906250117775084,0.4906250117775084
24,0.46186818561159443,0.46186818561159443,0.46186818561159443,0.46186818561159443
25,0.43383329563419565,0.43383329563419565,0.43383329563419565,0.43383329563419565
26,0.4065320152756076,0.4065320152756076,0.4065320152756076,0.4065320152756076
27,0.3800907198431652,0.3800907198431652,0.3800907198431652,0.3800907198431652
28,0.354538025553761,0.354538025553761,0.354538025553761,0.354538025553761
29,0.32997685350584255,0.32997685350584255,0.32997685350584255,0.32997685350584255
30,0.3064859498514388,0.3064859498514388,0.3064859498514388,0.3064859498514388
31,0.28407266089666405,0.28407266089666405,0.28407266089666405,0.28407266089666405
32,0.26274933895688124,0.26274933895688124,0.26274933895688124,0.26274933895688124
33,0.2425128726448724,0.2425128726448724,0.2425128726448724,0.2425128726448724
34,0.2233837167989277,0.2233837167989277,0.2233837167989277,0.2233837167989277
35,0.20538691145362306,0.20538691145362306,0.20538691145362306,0.20538691145362306
36,0.18850174416251753,0.18850174416251753,0.18850174416251753,0.18850174416251753
37,0.1727283138562992,0.1727283138562992,0.1727283138562992,0.1727283138562992
38,0.15803306698696698,0.15803306698696698,0.15803306698696698,0.15803306698696698
39,0.144348703983157,0.144348703983157,0.144348703983157,0.144348703983157
40,0.1316867784442528,0.1316867784442528,0.1316867784442528,0.1316867784442528
41,0.12004851035871465,0.12004851035871465,0.12004851035871465,0.12004851035871465
42,0.10934262460222971,0.10934262460222971,0.10934262460222971,0.10934262460222971
43,0.09956360310959339,0.09956360310959339,0.09956360310959339,0.09956360310959339
44,0.09062584906505955,0.09062584906505955,0.09062584906505955,0.09062584906505955
45,0.08246616600620214,0.08246616600620214,0.08246616600620214,0.08246616600620214
46,0.07506367392558709,0.07506367392558709,0.07506367392558709,0.07506367392558709
47,0.0683633176856583,0.0683633176856583,0.0683633176856583,0.0683633176856583
48,0.0623070151975979,0.0623070151975979,0.0623070151975979,0.0623070151975979
49,0.05689497348062965,0.05689497348062965,0.05689497348062965,0.05689497348062965
50,0.052058164308962006,0.052058164308962006,0.052058164308962006,0.052058164308962006
51,0.04771963749649142,0.04771963749649142,0.04771963749649142,0.04771963749649142
52,0.043891178588776954,0.043891178588776954,0.043891178588776954,0.043891178588776954
53,0.04050619657637932,0.04050619657637932,0.04050619657637932,0.04050619657637932
54,0.037471800964537665,0.037471800964537665,0.037471800964537665,0.037471800964537665
55,0.03476846327835067,0.03476846327835067,0.03476846327835067,0.03476846327835067
56,0.03237259041895166,0.03237259041895166,0.03237259041895166,0.03748146436729353
57,0.03029431924941776,0.03029431924941776,0.03029431924941776,0.040513496472518395
58,0.028489944569539835,0.028489944569539835,0.028489944569539835,0.04391934711756056
59,0.026856176012632,0.026856176012632,0.026856176012632,0.0478156774854467
60,0.02545155611991544,0.02545155611991544,0.02545155611991544,0.05215464135545403
61,0.024185263766546176,0.024185263766546176,0.024185263766546176,0.05702100818434716
62,0.02307141709419159,0.02307141709419159,0.02307141709419159,0.06244063974846988
63,0.022059199766947854,0.022059199766947854,0.022059199766947854,0.06849956157389685
64,0.021162948865306508,0.021162948865306508,0.021162948865306508,0.07523695769964954
65,0.020384723093097173,0.020384723093097173,0.020384723093097173,0.08263050418863381
66,0.019693192961268643,0.019693192961268643,0.019693192961268643,0.09075478396058169
67,0.019028102533428546,0.019028102533428546,0.019028102533428546,0.09967152854480313
68,0.018362635727164622,0.018362635727164622,0.018362635727164622,0.10948395254229835
69,0.017783165718899496,0.017783165718899496,0.017783165718899496,0.12016255545934121
70,0.017209221048170853,0.017209221048170853,0.017209221048170853,0.13176245319270452
71,0.01665530159578626,0.01665530159578626,0.01665530159578626,0.14436274268741792
72,0.016136006706238666,0.016136006706238666,0.016136006706238666,0.1579431820657935
73,0.01559168805113364,0.01559168805113364,0.01559168805113364,0.17259191025012313
74,0.015022551108578136,0.015022551108578136,0.015022551108578136,0.18837061204378994
75,0.014408558521928063,0.014408558521928063,0.014408558521928063,0.2051787491722437
76,0.013794668119922719,0.013794668119922719,0.013794668119922719,0.22313338954532996
77,0.013185738147924862,0.013185738147924862,0.013185738147924862,0.24218379489017072
78,0.012596235854562215,0.012596235854562215,0.012596235854562215,0.2623185601633562
79,0.011966398028491084,0.011966398028491084,0.011966398028491084,0.28360444472533086
80,0.011325794871006357,0.011325794871006357,0.011325794871006357,0.3059664487885058
81,0.01069504060470191,0.01069504060470191,0.01069504060470191,0.329383233507593
82,0.01005190927131473,0.01005190927131473,0.01005190927131473,0.35383328701924055
83,0.009406667787141887,0.009406667787141887,0.009406667787141887,0.37928152522978964
84,0.008779183711378735,0.008779183711378735,0.008779183711378735,0.4056638088429265
85,0.008177146900705017,0.008177146900705017,0.008177146900705017,0.43289818485466947
86,0.0075659355698276766,0.0075659355698276766,0.0075659355698276766,0.46086649909563365
87,0.0069520591290812865,0.0069520591290812865,0.0069520591290812865,0.48949101918891746
88,0.006389075358752303,0.006389075358752303,0.006389075358752303,0.5186963018444374
89,0.005842358075297302,0.005842358075297302,0.005842358075297302,0.548296337405741
90,0.005333126960203151,0.005333126960203151,0.005333126960203151,0.5781801056435897
91,0.004831704578069726,0.004831704578069726,0.004831704578069726,0.6082311498652107
92,0.004392905330373329,0.004392905330373329,0.004392905330373329,0.6382622304511837
93,0.0040077743849652875,0.0040077743849652875,0.0040077743849652875,0.6681558811143569
94,0.0036666692371426684,0.0036666692371426684,0.0036666692371426684,0.6977293440184835
95,0.0033428303130751706,0.0033428303130751706,0.0033428303130751706,0.7268537264157716
96,0.003070997861163248,0.003070997861163248,0.003070997861163248,0.7553030311697768
97,0.0028474551330258864,0.0028474551330258864,0.0028474551330258864,0.7829206134903663
98,0.0026451934445009856,0.0026451934445009856,0.0026451934445009856,0.8095169032199951
99,0.0025214805551180947,0.0025214805551180947,0.0025214805551180947,0.8349530145839479
100,0.00246661370441547,0.00246661370441547,0.00246661370441547,0.8590561026831699
101,0.002443249315984882,0.002443249315984882,0.002443249315984882,0.8816912320937452
102,0.002523891354372147,0.002523891354372147,0.002523891354372147,0.9026772544514858
103,0.0026045717942973336,0.0026045717942973336,0.0026045717942973336,0.9218642227814444
104,0.0026983885956312435,0.0026983885956312435,0.0026983885956312435,0.9391490187527358
105,0.0028539781243012907,0.0028539781243012907,0.0028539781243012907,0.9543890851024239
106,0.00306436820440093,0.00306436820440093,0.00306436820440093,0.9674790042386865
107,0.00335986978199473,0.00335986978199473,0.00335986978199473,0.978321596021904
108,0.0037258317088479423,0.0037258317088479423,0.0037258317088479423,0.9868529038436589
109,0.004135769164696795,0.004135769164696795,0.004135769164696795,0.9929938904982724
110,0.00460642917292463,0.00460642917292463,0.00460642917292463,0.9967112786477248
111,0.005108685345532727,0.005108685345532727,0.005108685345532727,0.9979606634816264
112,0.005636341224445364,0.005636341224445364,0.005636341224445364,0.9967345711314731
113,0.006185604556675793,0.006185604556675793,0.006185604556675793,0.993045490567848
114,0.006733398707044495,0.006733398707044495,0.006733398707044495,0.9869241103920087
115,0.007376498743120468,0.007376498743120468,0.007376498743120468,0.9784115183227434
116,0.008049230737312172,0.008049230737312172,0.008049230737312172,0.9675553807531696
117,0.008784877499935841,0.008784877499935841,0.008784877499935841,0.9544572014237237
118,0.009526214325321147,0.009526214325321147,0.009526214325321147,0.939216741248313
119,0.010319981041983471,0.010319981041983471,0.010319981041983471,0.9219385606869576
120,0.011078917709233024,0.011078917709233024,0.011078917709233024,0.9027474330878618
121,0.011930335153501791,0.011930335153501791,0.011930335153501791,0.8817777183667096
122,0.012807305258576093,0.012807305258576093,0.012807305258576093,0.8591623681384074
123,0.01371715948900923,0.01371715948900923,0.01371715948900923,0.8350220720486788
124,0.014636081050516584,0.014636081050516584,0.014636081050516584,0.8095963722770216
125,0.015559719930005296,0.015559719930005296,0.015559719930005296,0.7830062172659159
126,0.01645929229278313,0.01645929229278313,0.01645929229278313,0.7554229088517024
127,0.017346157794518546,0.017346157794518546,0.017346157794518546,0.7269800719798328
128,0.01823223677615607,0.01823223677615607,0.01823223677615607,0.6979396836567087
129,0.01914924553257412,0.01914924553257412,0.01914924553257412,0.6684461864767343
